Feature_Order,Feature
1,Age
2,BMI
3,DietaryRestrictionDays
4,Sex
5,InpatientStatus
6,PreviousColonoscopy
7,ChronicConstipation
8,DiabetesMellitus
9,StoolForm
10,BPEducationModality
11,SplitDose_BP
12,PreColonoscopyPhysicalActivity
13,DietaryRestriction_1
14,DietaryRestriction_2
15,DietaryRestriction_3
16,DietaryRestriction_4
17,LaxativeRegimen_1
18,LaxativeRegimen_2
19,LaxativeRegimen_3
20,LaxativeRegimen_4
21,LaxativeRegimen_5
22,LaxativeRegimen_6
23,PreviousAbdominopelvicSurgery_1
24,BPtoColonoscopyinterval_1
25,BPtoColonoscopyinterval_2
26,BPtoColonoscopyinterval_3
27,BPtoColonoscopyinterval_4
